Dia,ID,Fila,Columna,Susceptibles,Expuestos,Infectados,Recuperados,Fallecidos,Vacunados
11,3,4,2,14,4,14,2,0,1
11,4,4,3,8,4,8,0,0,0
11,4,4,4,7,1,7,0,0,0
11,0,4,5,0,0,0,0,0,0
11,3,5,0,12,1,12,0,0,0
11,3,5,1,17,1,9,0,0,3
11,3,5,2,7,0,3,0,0,0
11,2,5,3,235808,47112,20266,28054,5211,95993
11,0,5,4,0,0,0,0,0,0
11,0,5,5,0,0,0,0,0,0
12,1,0,0,159059,36602,10712,21700,4019,78033
12,1,0,1,7,0,3,0,0,0
12,1,0,2,14,2,12,1,0,1
12,0,0,3,0,0,0,0,0,0
12,2,0,4,8,4,8,0,0,0
12,2,0,5,9,1,10,0,0,0
12,1,1,0,20,5,12,0,0,3
12,1,1,1,6,0,4,0,0,0
12,1,1,2,10,9,11,4,0,1
12,0,1,3,0,0,0,0,0,0
12,2,1,4,7,0,8,0,0,0
12,2,1,5,8,7,9,0,0,1
12,3,2,0,17,4,12,0,0,2
12,1,2,1,11,1,8,0,0,0
12,0,2,2,0,0,0,0,0,0
12,4,2,3,12,4,11,2,0,1
12,4,2,4,7,0,3,0,0,0
12,4,2,5,9,2,9,0,0,0
12,3,3,0,10,3,11,0,0,1
12,3,3,1,8,0,7,0,0,0
12,4,3,2,17,7,11,2,0,3
12,4,3,3,285822,54359,30521,32543,6068,103040
12,4,3,4,11,4,11,3,0,1
12,4,3,5,8,2,10,0,0,0
12,3,4,0,8,0,7,0,0,0
12,3,4,1,780,172,58,100,14,376
12,3,4,2,14,4,14,2,0,1
12,4,4,3,8,4,8,0,0,0
12,4,4,4,6,1,8,0,0,0
12,0,4,5,0,0,0,0,0,0
12,3,5,0,12,1,12,0,0,0
12,3,5,1,17,1,9,0,0,3
12,3,5,2,7,0,3,0,0,0
12,2,5,3,226661,49470,16263,29443,5467,105140
12,0,5,4,0,0,0,0,0,0
12,0,5,5,0,0,0,0,0,0
13,1,0,0,153500,37725,8795,22370,4143,83592
13,1,0,1,7,0,3,0,0,0
13,1,0,2,12,3,12,2,0,1
13,0,0,3,0,0,0,0,0,0
13,2,0,4,8,4,8,0,0,0
13,2,0,5,9,1,10,0,0,0
13,1,1,0,20,6,11,0,0,3
13,1,1,1,6,0,4,0,0,0
13,1,1,2,10,9,11,4,0,1
13,0,1,3,0,0,0,0,0,0
13,2,1,4,7,0,8,0,0,0
13,2,1,5,7,8,9,0,0,1
13,3,2,0,16,5,12,0,0,2
13,1,2,1,11,1,8,0,0,0
13,0,2,2,0,0,0,0,0,0
13,4,2,3,12,4,11,2,0,1
13,4,2,4,7,0,3,0,0,0
13,4,2,5,8,3,9,0,0,0
13,3,3,0,9,4,10,1,0,1
13,3,3,1,7,0,8,0,0,0
13,4,3,2,17,8,10,2,0,3
13,4,3,3,272331,58680,23280,35016,6515,116531
13,4,3,4,11,4,11,3,0,1
13,4,3,5,8,2,10,0,0,0
13,3,4,0,7,1,7,0,0,0
13,3,4,1,751,178,49,103,14,405
13,3,4,2,13,5,14,2,0,1
13,4,4,3,8,4,8,0,0,0
13,4,4,4,6,1,8,0,0,0
13,0,4,5,0,0,0,0,0,0
13,3,5,0,11,2,12,0,0,0
13,3,5,1,17,1,9,0,0,3
13,3,5,2,7,0,3,0,0,0
13,2,5,3,220225,50855,13875,30287,5626,111576
13,0,5,4,0,0,0,0,0,0
13,0,5,5,0,0,0,0,0,0
14,1,0,0,147241,38800,6976,22999,4258,89851
14,1,0,1,6,0,4,0,0,0
14,1,0,2,11,4,12,2,0,1
14,0,0,3,0,0,0,0,0,0
14,2,0,4,8,4,8,0,0,0
14,2,0,5,9,1,10,0,0,0
14,1,1,0,19,7,11,0,0,3
14,1,1,1,6,0,4,0,0,0
14,1,1,2,10,9,11,4,0,1
14,0,1,3,0,0,0,0,0,0
14,2,1,4,7,0,8,0,0,0
14,2,1,5,7,8,9,0,0,1
14,3,2,0,15,5,13,0,0,2
14,1,2,1,11,1,8,0,0,0
14,0,2,2,0,0,0,0,0,0
14,4,2,3,12,4,11,2,0,1
14,4,2,4,6,0,4,0,0,0
14,4,2,5,7,4,9,0,0,0
14,3,3,0,9,4,10,1,0,1
14,3,3,1,6,1,8,0,0,0
14,4,3,2,17,8,10,2,0,3
14,4,3,3,271283,58948,22800,35193,6550,117579
14,4,3,4,11,4,11,3,0,1
14,4,3,5,8,2,10,0,0,0
14,3,4,0,7,1,7,0,0,0
14,3,4,1,724,183,41,106,14,432
14,3,4,2,13,5,14,2,0,1
14,4,4,3,7,4,9,0,0,0
14,4,4,4,6,1,8,0,0,0
14,0,4,5,0,0,0,0,0,0
14,3,5,0,11,2,12,0,0,0
14,3,5,1,17,1,9,0,0,3
14,3,5,2,6,0,4,0,0,0
14,2,5,3,210518,52689,10787,31348,5819,121283
14,0,5,4,0,0,0,0,0,0
14,0,5,5,0,0,0,0,0,0
